Severity,File Name,Line,Pattern,Issue,Recommendation Priority
MEDIUM,packages/apps-engine/src/server/AppManager.ts,510,.catch(() => {}),License validation error silenced during app download,HIGH - Add logger.warn logging
MEDIUM,packages/apps-engine/src/server/AppManager.ts,529,.catch(() => {}),License validation error silenced during app migration,HIGH - Add logger.warn logging
MEDIUM,ee/packages/media-calls/src/server/MediaCallServer.ts,40,.catch(() => null),Call request error silenced in signal processor,HIGH - Add logger.warn logging
MEDIUM,ee/packages/media-calls/src/sip/providers/IncomingSipCall.ts,209,.catch(() => null),SIP call hangup error suppressed after incoming call canceled,URGENT - Add logger.warn logging
MEDIUM,ee/packages/media-calls/src/internal/InternalCallProvider.ts,54,.catch(() => null),Transferred call hangup error suppressed,URGENT - Add logger.warn logging
MEDIUM,ee/packages/media-calls/src/server/CallDirector.ts,434,.catch(() => null),Agent notification of call end error suppressed,HIGH - Add logger.warn logging
MEDIUM,ee/packages/media-calls/src/internal/SignalProcessor.ts,121,.catch(() => null),Unknown call reaction error silenced in Promise.all,HIGH - Add logger.warn logging
MEDIUM,packages/apps-engine/src/server/AppManager.ts,733,.catch(() => {}),App disable error silenced during installation,HIGH - Add logger.warn logging
MEDIUM,apps/meteor/server/services/video-conference/service.ts,581,.catch(() => false),Video conference provider configuration check fails silently,MEDIUM - Add logger.warn logging
MEDIUM,ee/packages/media-calls/src/sip/providers/IncomingSipCall.ts,347,.catch(() => {}),Dialog creation with error logging and hangup call,OK - Already has error logging and recovery
LOW,apps/meteor/ee/server/apps/storage/AppGridFSSourceStorage.ts,50,.catch(() => {}),File removal during upload stream - intentional suppression documented,OPTIONAL - Already documented as intentional
LOW,packages/apps-engine/src/server/AppManager.ts,541,.catch(() => {}),App activation bridge error during update,OPTIONAL - Non-critical notification
LOW,packages/apps-engine/src/server/AppManager.ts,612,.catch(() => {}),Runtime stop error during cleanup - errors don't prevent termination,OPTIONAL - Already contextually clear
LOW,packages/apps-engine/src/server/AppManager.ts,651,.catch(() => {}),App added notification error with explicit comment,OPTIONAL - Documented as intentional
LOW,packages/apps-engine/src/server/AppManager.ts,705,.catch(() => {}),App source storage removal error during uninstall,OPTIONAL - Non-critical cleanup
LOW,packages/apps-engine/src/server/AppManager.ts,710,.catch(() => {}),Runtime stop error during cleanup phase,OPTIONAL - Duplicate pattern
LOW,packages/apps-engine/src/server/AppManager.ts,765,.catch(() => {}),Runtime stop error suppressed during cleanup,OPTIONAL - Duplicate pattern
LOW,packages/apps-engine/src/server/AppManager.ts,794,.catch(() => {}),Persistence bridge purge error during app removal,OPTIONAL - Non-critical cleanup
LOW,packages/apps-engine/src/server/AppManager.ts,819,.catch(() => {}),App source storage removal error,OPTIONAL - Cleanup operation
LOW,packages/apps-engine/src/server/AppManager.ts,930,.catch(() => {}),Promise cleanup error suppressed,OPTIONAL - Non-critical
LOW,apps/meteor/app/webdav/server/lib/uploadFileToWebdav.ts,19,.catch(() => {}),WebDAV directory creation - may already exist,OPTIONAL - Existing behavior acceptable
LOW,ee/packages/media-calls/src/sip/providers/OutgoingSipCall.ts,316,.catch(() => { logger.debug('modify failed'); }),SIP dialog modification with debug logging,OK - Has debug-level logging
LOW,ee/packages/media-calls/src/server/BroadcastAgent.ts,50,.catch(() => { fallback logic }),Provider call update error with fallback,OK - Has fallback mechanism
LOW,packages/media-signaling/src/lib/Session.ts,363,.catch(() => null),Input track update - fire-and-forget operation,OK - Non-critical fire-and-forget
LOW,packages/media-signaling/src/lib/Session.ts,410,.catch(() => null),Media stream acquisition returns null gracefully,OK - Caller handles null appropriately
LOW,packages/media-signaling/src/lib/NegotiationManager.ts,117,.catch(() => null),Negotiation operation in try-finally,OK - Protected by try-finally
LOW,packages/media-signaling/src/lib/NegotiationManager.ts,235,.catch(() => null),Negotiation operation suppressed,OK - Non-critical stability check
LOW,apps/meteor/server/modules/notifications/notifications.module.ts,286,.catch(() => null),Media call signal processing fire-and-forget notification,OK - Notifications are best-effort
LOW,ee/packages/media-calls/src/sip/providers/IncomingSipCall.ts,371,.catch(() => { logger.debug('modify failed'); }),SIP dialog modification with debug logging,OK - Has debug-level logging
LOW,apps/meteor/public/workers/index.js,78,.catch(() => { if/else caching logic }),Service worker cache fallback,OK - Has comprehensive fallback logic
LOW,apps/meteor/server/ufs/ufs-methods.ts,23,.catch(() => { console.warn(...) }),Temp file removal with console warning,OK - Has explicit error logging
LOW,ee/packages/media-calls/src/server/CallDirector.ts,406,.catch(() => false),Call hangup returns false result - caller checks it,OK - Result-based error handling
