id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
,,,,,,,,,,,,,,,,,,,,1,,VideoConf Call Window and Persistent Chat,1,,
,,,,,,,,,,,,,,,,,,,,2,1,Flag OFF - pre-existing behaviour,1,,
,,,,,,,,,,,,,,,,,,,,3,1,Flag ON - placing a call,1,,
,,,,,,,,,,,,,,,,,,,,4,1,Flag ON - being called,1,,
,,,,,,,,,,,,,,,,,,,,5,1,Flag ON - the preflight,1,,
,,,,,,,,,,,,,,,,,,,,6,1,Flag ON - the call window,1,,
,,,,,,,,,,,,,,,,,,,,7,1,Flag ON - participants and chat access,1,,
,,,,,,,,,,,,,,,,,,,,8,1,Flag ON - the ongoing-calls list,1,,
,,,,,,,,,,,,,,,,,,,,9,1,Flag ON - leaving and ending a call,1,,
,,,,,,,,,,,,,,,,,,,,10,1,Persistent chat modes,1,,
,,,,,,,,,,,,,,,,,,,,11,1,Provider matrix,1,,
,,,,,,,,,,,,,,,,,,,,12,1,Permissions and access,1,,
,,,,,,,,,,,,,,,,,,,,13,1,Security,1,,
,,,,,,,,,,,,,,,,,,,,14,1,Edge cases (human pass),1,,
1,Room call button opens the start-call popup with the device controls,"With the call window off the room popup is still the only place mic and camera are chosen, so it must keep both controls and must not open any window on the click.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = Off (the default). Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists and both have it open.",Nothing to restore: the settings are at their defaults. Close any call window still open.,"videoconf,conference-window,flag-off,popups,automation-candidate",high,major,regression,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, open the direct message with user2 and click the camera (Video call) button in the room header.
2. Toggle the camera control on and the microphone control off.
3. Press Escape.
","1. A ""Start a call"" popup opens over the room, naming user2. It carries a camera toggle and a microphone toggle in its header and a ""Start call"" button. No new browser window or tab has opened.
2. Both controls change state in place; the popup stays open and nothing is sent yet.
3. The popup closes. No conference message was posted in the room and no call appears in the room's call history (kebab > Video conferences).
","1. 
2. 
3. 
",,,2,1,Flag OFF - pre-existing behaviour,,,no
